customer_key,customer_name,customer_segment
371,Alex Grayson,Consumer
372,Chris Cortes,Consumer
373,Sara Luxemburg,Small Business
374,Eric Murdock,Home Office
375,Paul Knutson,Corporate
376,Nicole Brennan,Consumer
377,Jennifer Patt,Home Office
378,Elpida Rittenbach,Consumer
379,David Wiener,Consumer
380,Peter McVee,Small Business
381,Karen Carlisle,Home Office
382,Stefania Perrino,Corporate
383,Paul Lucas,Corporate
384,Evan Henry,Corporate
385,Alyssa Tate,Small Business
386,Michael Stewart,Small Business
387,Shirley Jackson,Corporate
388,Katherine Murray,Home Office
389,Berenike Kampe,Corporate
390,Erica Hernandez,Small Business
391,Tony Molinari,Corporate
392,Elizabeth Moffitt,Consumer
393,Deanra Eno,Corporate
394,Mark Packer,Small Business
395,Alan Shonely,Small Business
396,Katrina Willman,Consumer
397,Anthony Garverick,Small Business
398,Aaron Hawkins,Home Office
399,Dave Poirier,Small Business
400,Bradley Drucker,Small Business
401,Mark Haberlin,Small Business
402,Brendan Murry,Corporate
403,Emily Burns,Home Office
404,Michael Oakman,Small Business
405,Deborah Brumfield,Small Business
406,Robert Barroso,Small Business
407,Darrin Sayre,Consumer
408,Michael Kennedy,Corporate
409,Marc Crier,Corporate
410,Bobby Elias,Small Business
411,Joni Wasserman,Consumer
412,Karen Ferguson,Home Office
413,Bradley Talbott,Small Business
414,Julia Barnett,Corporate
415,Emily Phan,Consumer
416,Liz Willingham,Home Office
417,Denise Leinenbach,Home Office
418,Bill Tyler,Consumer
419,Debra Catini,Small Business
420,Becky Martin,Home Office
421,Benjamin Venier,Small Business
422,Bill Shonely,Small Business
423,Pierre Wener,Home Office
424,Julie Kriz,Corporate
425,David Kendrick,Home Office
426,Doug Jacobs,Home Office
427,Luke Foster,Corporate
428,Dianna Wilson,Small Business
429,Michelle Tran,Consumer
430,Sanjit Jacobs,Consumer
431,Barry Gonzalez,Consumer
432,Vivian Mathis,Corporate
433,Carol Adams,Corporate
434,Vivek Gonzalez,Consumer
435,Bradley Nguyen,Consumer
436,Pete Takahito,Corporate
437,Jason Klamczynski,Small Business
438,Greg Tran,Home Office
439,Gene McClure,Home Office
440,Helen Wasserman,Home Office
441,Ross DeVincentis,Corporate
442,Valerie Mitchum,Home Office
443,Bart Pistole,Consumer
444,Chad McGuire,Small Business
445,Scott Cohen,Consumer
446,Vivek Sundaresam,Home Office
447,Natalie DeCherney,Consumer
448,Cynthia Delaney,Corporate
449,Tom Stivers,Corporate
450,Gary McGarr,Home Office
451,Grant Thornton,Corporate
452,Speros Goranitis,Corporate
453,Ellis Ballard,Corporate
454,Maribeth Dona,Home Office
455,Corey Lock,Home Office
456,Bart Folk,Corporate
457,Anne Pryor,Consumer
458,Dorris Love,Home Office
459,Caroline Jumper,Corporate
460,Pamela Stobb,Consumer
461,Jasper Cacioppo,Home Office
462,Alan Haines,Consumer
463,Deirdre Greer,Home Office
464,John Stevenson,Small Business
465,Sheri Gordon,Corporate
466,Ben Wallace,Home Office
467,Max Engle,Corporate
468,Fred Chung,Corporate
469,Dennis Kane,Small Business
470,Phillip Flathmann,Small Business
471,Mathew Reese,Small Business
472,Stuart Van,Consumer
473,Brenda Bowman,Small Business
474,Jennifer Ferguson,Corporate
475,Theresa Swint,Consumer
476,Katherine Nockton,Home Office
477,Stewart Visinsky,Corporate
478,Jeremy Farry,Small Business
479,Clay Ludtke,Consumer
480,Laurel Elliston,Corporate
481,Mitch Webber,Corporate
482,Carol Triggs,Home Office
483,Justin MacKendrick,Corporate
484,Sarah Brown,Consumer
485,Tony Sayre,Small Business
486,Dionis Lloyd,Small Business
487,Lindsay Castell,Small Business
488,Michael Chen,Consumer
489,Toby Carlisle,Home Office
490,Ted Butterfield,Corporate
491,Nora Price,Home Office
492,Shirley Daniels,Corporate
493,Arthur Gainer,Corporate
494,Stuart Calhoun,Consumer
495,Arthur Prichep,Home Office
496,Kean Nguyen,Corporate
497,Jim Kriz,Consumer
498,Harold Ryan,Home Office
499,John Lucas,Corporate
500,Alejandro Grove,Corporate
501,Sam Zeldin,Small Business
502,Sally Hughsby,Consumer
503,Jane Waco,Corporate
504,Sandra Flanagan,Home Office
505,Steve Nguyen,Consumer
506,Herbert Flentye,Small Business
507,Xylona Price,Corporate
508,Bill Overfelt,Corporate
509,Robert Marley,Corporate
510,Mick Hernandez,Home Office
511,Guy Phonely,Corporate
512,Jay Kimmel,Small Business
513,Matt Connell,Corporate
514,Vivek Grady,Home Office
515,Ben Ferrer,Corporate
516,Karen Daniels,Consumer
517,Pamela Coakley,Corporate
518,Denny Blanton,Home Office
519,Laura Armstrong,Small Business
520,Lindsay Shagiari,Home Office
521,Cathy Prescott,Corporate
522,Stephanie Ulpright,Consumer
523,Odella Nelson,Small Business
524,Ryan Akin,Consumer
525,Todd Sumrall,Consumer
526,Greg Hansen,Home Office
527,Darrin Martin,Small Business
528,Ken Brennan,Consumer
529,Max Jones,Home Office
530,Joe Kamberova,Small Business
531,Maureen Fritzler,Corporate
532,Art Foster,Home Office
533,Erica Hackney,Small Business
534,Don Weiss,Corporate
535,Jessica Myrick,Small Business
536,Bruce Degenhardt,Home Office
537,Kalyca Meade,Corporate
538,Troy Blackwell,Home Office
539,Clytie Kelty,Small Business
540,Steven Roelle,Small Business
541,Benjamin Patterson,Corporate
542,Denny Joy,Corporate
543,Kristen Hastings,Small Business
544,Alan Schoenberger,Corporate
545,Alejandro Savely,Corporate
546,Kean Thornton,Corporate
547,Grant Donatelli,Consumer
548,Jason Fortune,Corporate
549,Dave Brooks,Corporate
550,Philip Fox,Home Office
551,Ionia McGrath,Home Office
552,Lori Olson,Consumer
553,Quincy Jones,Home Office
554,Patrick Jones,Home Office
555,Karen Seio,Consumer
556,Patrick Gardner,Consumer
557,Nona Balk,Corporate
558,Erin Mull,Small Business
559,John Lee,Corporate
560,Justin Deggeller,Corporate
561,Keith Dawkins,Home Office
562,Joe Elijah,Home Office
563,Stefanie Holloman,Small Business
564,Ken Black,Consumer
565,Lindsay Williams,Corporate
566,Logan Currie,Small Business
567,Steve Chapman,Corporate
568,Scot Wooten,Corporate
569,Denise Monton,Home Office
570,Ed Braxton,Home Office
571,Valerie Takahito,Consumer
572,Penelope Sewall,Home Office
573,Sean Braxton,Small Business
574,Valerie Dominguez,Corporate
575,Susan MacKendrick,Corporate
576,Thais Sissman,Corporate
577,Linda Southworth,Consumer
578,Michael Moore,Corporate
579,Patrick Ryan,Corporate
580,Ross Baird,Corporate
581,Tracy Zic,Consumer
582,Mick Crebagga,Home Office
583,Steven Ward,Consumer
584,Ryan Crowe,Small Business
585,Irene Maddox,Consumer
586,Nick Radford,Corporate
587,Maurice Satty,Corporate
588,Victor Price,Consumer
589,Maureen Grace,Corporate
590,Eric Hoffmann,Small Business
591,Jill Stevenson,Consumer
592,Evan Bailliet,Corporate
593,Meg Tillman,Small Business
594,Russell D'Ascenzo,Consumer
595,Gary Hwang,Home Office
596,Emily Ducich,Consumer
597,Steven Cartwright,Home Office
598,Sue Ann Reed,Consumer
599,Sanjit Engle,Home Office
600,Katherine Ducich,Corporate
601,Mike Gockenbach,Consumer
602,Tom Zandusky,Home Office
603,Henia Zydlo,Home Office
604,Tracy Collins,Consumer
605,Toby Knight,Consumer
606,Thea Hudgings,Consumer
607,Nora Pelletier,Corporate
608,Jamie Frazer,Small Business
609,Rachel Payne,Consumer
610,Craig Molinari,Small Business
611,Joy Daniels,Corporate
612,Jill Fjeld,Home Office
613,Rick Bensley,Consumer
614,Maribeth Schnelling,Corporate
615,Roland Murray,Home Office
616,Peter Fuller,Consumer
617,Sam Craven,Home Office
618,Mitch Willingham,Corporate
619,John Dryer,Corporate
620,Susan Gilcrest,Home Office
621,Randy Bradley,Small Business
622,William Brown,Corporate
623,Rick Hansen,Corporate
624,Toby Grace,Home Office
625,Joseph Holt,Home Office
626,Ashley Jarboe,Small Business
627,Pauline Webber,Consumer
628,Kean Takahito,Home Office
629,Nick Zandusky,Small Business
630,Neoma Murray,Small Business
631,Sung Chung,Home Office
632,Darrin Van Huff,Home Office
633,Max Ludwig,Corporate
634,Michelle Moray,Corporate
635,Craig Rider,Small Business
636,Maribeth Yedwab,Home Office
637,Eugene Moren,Home Office
638,Mark Van Huff,Home Office
639,Mark Hamilton,Home Office
640,Sung Shariari,Corporate
641,Richard Eichhorn,Consumer
642,Neil French,Consumer
643,Nicole Fjeld,Small Business
644,Suzanne McNair,Small Business
645,Susan Pistek,Home Office
646,Nick Crebassa,Corporate
647,Aleksandra Gannaway,Home Office
648,Carl Weiss,Consumer
649,Joel Eaton,Home Office
650,Justin Ellison,Home Office
651,Jennifer Jackson,Home Office
652,Karen Bern,Corporate
653,Liz Pelletier,Corporate
654,Jonathan Doherty,Corporate
655,Frank Gastineau,Small Business
656,Janet Lee,Consumer
657,Maxwell Schwartz,Corporate
658,Liz Carlisle,Corporate
659,Kelly Collister,Consumer
660,Dennis Pardue,Corporate
661,John Huston,Consumer
662,MaryBeth Skach,Home Office
663,Craig Carreira,Corporate
664,Paul Stevenson,Corporate
665,Luke Schmidt,Home Office
666,Kelly Andreada,Home Office
667,Tracy Hopkins,Small Business
668,Craig Leslie,Consumer
669,Michael Grace,Corporate
670,Saphhira Shifley,Corporate
671,Laurel Beltran,Consumer
672,Tracy Blumstein,Home Office
673,Larry Blacks,Consumer
674,Richard Bierner,Small Business
675,Tiffany House,Corporate
676,Roy Collins,Corporate
677,Toby Swindell,Small Business
678,Christina Anderson,Corporate
679,Robert Dilbeck,Corporate
680,Randy Ferguson,Home Office
681,Arianne Irving,Corporate
682,Andy Gerbode,Consumer
683,Amy Hunt,Home Office
684,Trudy Brown,Small Business
685,Brian Dahlen,Small Business
686,Beth Fritzler,Small Business
687,Brosina Hoffman,Consumer
688,Phillina Ober,Small Business
689,Jim Epp,Small Business
690,James Galang,Consumer
691,Lynn Smith,Corporate
692,Christine Abelman,Corporate
693,Pauline Johnson,Corporate
694,Georgia Rosenberg,Consumer
695,Allen Armold,Home Office
696,Katherine Hughes,Consumer
697,Brendan Sweed,Consumer
698,Dario Medina,Small Business
699,Cindy Chapman,Consumer
700,Benjamin Farhat,Home Office
701,Dianna Vittorini,Corporate
702,Cindy Stewart,Corporate
703,Rob Williams,Home Office
704,Anna Chung,Home Office
705,Ricardo Block,Corporate
706,Trudy Bell,Consumer
707,Rob Lucas,Small Business
708,Adam Hart,Corporate
709,Roland Fjeld,Corporate
710,Denny Ordway,Small Business
711,Charles Crestani,Consumer
712,Bryan Spruell,Home Office
713,Thomas Thornton,Consumer
714,Tamara Willingham,Corporate
715,Anne McFarland,Consumer
716,Dean Katz,Home Office
717,Barry Pond,Consumer
718,Jeremy Pistek,Corporate
719,Cyra Reiten,Consumer
720,Victoria Pisteka,Corporate
721,Dave Kipp,Corporate
722,David Bremer,Corporate
723,Jill Matthias,Consumer
724,Tim Taslimi,Corporate
725,Juliana Krohn,Corporate
726,Duane Noonan,Corporate
727,Paul Van Hugh,Corporate
728,Tom Ashbrook,Home Office
729,Maris LaWare,Home Office
730,Mick Brown,Consumer
731,Chris McAfee,Consumer
732,Pete Kriz,Corporate
733,Rick Huthwaite,Corporate
734,Carol Darley,Small Business
735,Fred Harton,Home Office
736,Andrew Allen,Corporate
737,Art Miller,Corporate
738,Lauren Leatherbury,Corporate
739,Greg Matthias,Home Office
740,Anthony Rawles,Small Business
741,Barry Blumstein,Small Business
742,Roger Barcio,Corporate
743,Sung Pak,Small Business
744,Tim Brockman,Consumer
745,Resi Polking,Small Business
746,Roger Demir,Consumer
747,Tamara Manning,Corporate
748,Shaun Chance,Corporate
749,Sharelle Roach,Home Office
750,Ken Dana,Corporate
751,Laurel Workman,Home Office
752,Lisa Ryan,Home Office
753,Chloris Kastensmidt,Consumer
754,Lisa Hazard,Home Office
755,Mitch Gastineau,Small Business
756,Katharine Harms,Consumer
757,Matthew Grinstein,Small Business
758,Maria Etezadi,Home Office
759,Sample Company A,Home Office
760,Sonia Cooley,Corporate
761,Sibella Parks,Small Business
762,Becky Pak,Corporate
763,Adam Shillingsburg,Corporate
764,Brooke Gillingham,Small Business
765,Tom Boeckenhauer,Corporate
766,Alex Russell,Home Office
767,Alejandro Ballentine,Small Business
768,Claire Good,Home Office
769,Alyssa Crouse,Corporate
770,Cassandra Brandow,Home Office
771,Adrian Barton,Small Business
772,Catherine Glotzbach,Home Office
773,Frank Olsen,Small Business
774,Alice McCarthy,Corporate
775,Frank Merwin,Consumer
776,Bruce Money,Corporate
777,Larry Tron,Home Office
778,Brian DeCherney,Corporate
779,Ann Steele,Corporate
780,Anthony Jacobs,Home Office
781,Katrina Edelman,Corporate
782,Ruben Dartt,Corporate
783,Roy Phan,Consumer
784,Clay Cheatham,Small Business
785,Yoseph Carroll,Consumer
786,Raymond Book,Consumer
787,Alan Dominguez,Corporate
788,Stephanie Phelps,Consumer
789,Tonja Turnell,Consumer
790,Christopher Conant,Consumer
791,Cyma Kinney,Small Business
792,Shui Tom,Home Office
793,Victoria Brennan,Small Business
794,Adrian Shami,Consumer
795,Harry Greene,Corporate
